Timestamp,roll
2020-08-02 15:31:27,-1.1
2020-08-02 15:31:28,-1.1
2020-08-02 15:31:29,-1.1
2020-08-02 15:31:30,0.2
2020-08-02 15:31:31,-1.3
2020-08-02 15:31:32,-2
2020-08-02 15:31:33,-1.8
2020-08-02 15:31:34,-1.2
2020-08-02 15:31:35,-0.9
2020-08-02 15:31:36,-0.8
2020-08-02 15:31:37,-0.8
2020-08-02 15:31:38,-0.9
2020-08-02 15:31:39,-0.9
2020-08-02 15:31:40,-1.1
2020-08-02 15:31:41,-1.2
2020-08-02 15:31:42,-1.2
2020-08-02 15:31:43,-1.3
2020-08-02 15:31:44,-1.1
2020-08-02 15:31:45,-1
2020-08-02 15:31:46,-1.4
2020-08-02 15:31:47,-1.4
2020-08-02 15:31:48,-1.2
2020-08-02 15:31:49,-1.1
2020-08-02 15:31:50,-1.1
2020-08-02 15:31:51,-1.1
2020-08-02 15:31:52,-1.2
2020-08-02 15:31:53,-1.3
2020-08-02 15:31:54,-1.2
2020-08-02 15:31:55,-1.2
2020-08-02 15:31:56,-1.2
2020-08-02 15:31:57,-1.1
2020-08-02 15:31:58,-1
2020-08-02 15:31:59,-0.8
2020-08-02 15:32:00,-0.9
2020-08-02 15:32:01,-1
2020-08-02 15:32:02,-1.1
2020-08-02 15:32:03,-1.1
2020-08-02 15:32:04,-1.1
2020-08-02 15:32:05,-0.9
2020-08-02 15:32:06,-0.8
2020-08-02 15:32:07,-0.8
2020-08-02 15:32:08,-0.9
2020-08-02 15:32:09,-0.9
2020-08-02 15:32:10,-1
2020-08-02 15:32:11,-9.7
2020-08-02 15:32:12,-21.9
2020-08-02 15:32:13,-18.7
2020-08-02 15:32:14,-0.7
2020-08-02 15:32:15,1.2
2020-08-02 15:32:16,1.2
2020-08-02 15:32:17,0.9
2020-08-02 15:32:18,0.6
2020-08-02 15:32:19,0.2
2020-08-02 15:32:20,-38.1
2020-08-02 15:32:21,-39.3
2020-08-02 15:32:22,-39.7
2020-08-02 15:32:23,-40
2020-08-02 15:32:24,-40.4
2020-08-02 15:32:25,-39.1
2020-08-02 15:32:26,-33.8
2020-08-02 15:32:27,-29
2020-08-02 15:32:28,-23.7
2020-08-02 15:32:29,-17.8
2020-08-02 15:32:30,-12.3
2020-08-02 15:32:31,-9.5
2020-08-02 15:32:32,-3.3
2020-08-02 15:32:33,2.3
2020-08-02 15:32:34,7.4
2020-08-02 15:32:35,9.7
2020-08-02 15:32:36,10.5
2020-08-02 15:32:37,10.6
2020-08-02 15:32:38,10.3
2020-08-02 15:32:39,9.8
2020-08-02 15:32:40,9.2
2020-08-02 15:32:41,8.3
2020-08-02 15:32:42,7.4
2020-08-02 15:32:43,6.2
2020-08-02 15:32:44,5
2020-08-02 15:32:45,4
2020-08-02 15:32:46,3.3
2020-08-02 15:32:47,-20.3
2020-08-02 15:32:48,-36.2
