Timestamp,roll
2020-08-02 14:20:27,-0.7
2020-08-02 14:20:28,-1.1
2020-08-02 14:20:29,-1.3
2020-08-02 14:20:30,-1.5
2020-08-02 14:20:31,-1.3
2020-08-02 14:20:32,-0.7
2020-08-02 14:20:33,-0.2
2020-08-02 14:20:34,-0.6
2020-08-02 14:20:35,-0.9
2020-08-02 14:20:36,-1.4
2020-08-02 14:20:37,-1.3
2020-08-02 14:20:38,-1.1
2020-08-02 14:20:39,-0.7
2020-08-02 14:20:40,-0.9
2020-08-02 14:20:41,-0.8
2020-08-02 14:20:42,-0.6
2020-08-02 14:20:43,-0.6
2020-08-02 14:20:44,-0.7
2020-08-02 14:20:45,-1
2020-08-02 14:20:46,-0.8
2020-08-02 14:20:47,-0.4
2020-08-02 14:20:48,-0.4
2020-08-02 14:20:49,-0.1
2020-08-02 14:20:50,-0.8
2020-08-02 14:20:51,-0.6
2020-08-02 14:20:52,-0.8
2020-08-02 14:20:53,-11.2
2020-08-02 14:20:54,-36.3
2020-08-02 14:20:55,-18.7
2020-08-02 14:20:56,3.8
2020-08-02 14:20:57,8.8
2020-08-02 14:20:58,7.1
2020-08-02 14:20:59,6.1
2020-08-02 14:21:00,5.2
2020-08-02 14:21:01,5
2020-08-02 14:21:02,5.3
2020-08-02 14:21:03,5.4
2020-08-02 14:21:04,5.3
2020-08-02 14:21:05,5.4
2020-08-02 14:21:06,5.7
2020-08-02 14:21:07,5.8
2020-08-02 14:21:08,5.6
2020-08-02 14:21:09,5.7
2020-08-02 14:21:10,5.7
2020-08-02 14:21:11,5.5
2020-08-02 14:21:12,5.7
2020-08-02 14:21:13,6
2020-08-02 14:21:14,5.8
2020-08-02 14:21:15,5.6
2020-08-02 14:21:16,6.2
2020-08-02 14:21:17,5.9
2020-08-02 14:21:18,5.8
2020-08-02 14:21:19,5.7
2020-08-02 14:21:20,5.5
2020-08-02 14:21:21,5.7
2020-08-02 14:21:22,5.9
2020-08-02 14:21:23,5.8
2020-08-02 14:21:24,5.6
2020-08-02 14:21:25,5.4
2020-08-02 14:21:26,5.7
2020-08-02 14:21:27,5.8
2020-08-02 14:21:28,5.6
2020-08-02 14:21:29,5.9
2020-08-02 14:21:30,5.8
2020-08-02 14:21:31,6.1
2020-08-02 14:21:32,5.9
2020-08-02 14:21:33,5.7
2020-08-02 14:21:34,5.3
2020-08-02 14:21:35,5.8
2020-08-02 14:21:36,5.8
2020-08-02 14:21:37,5.9
2020-08-02 14:21:38,6.1
2020-08-02 14:21:39,5.6
2020-08-02 14:21:40,5.7
2020-08-02 14:21:41,5.7
2020-08-02 14:21:42,5.6
2020-08-02 14:21:43,5.8
2020-08-02 14:21:44,5.7
2020-08-02 14:21:45,5.4
2020-08-02 14:21:46,5.2
2020-08-02 14:21:47,5.3
2020-08-02 14:21:48,5.4
2020-08-02 14:21:49,5.3
2020-08-02 14:21:50,5.3
2020-08-02 14:21:51,4.9
2020-08-02 14:21:52,5.1
2020-08-02 14:21:53,5
2020-08-02 14:21:54,5.1
2020-08-02 14:21:55,5.1
2020-08-02 14:21:56,5
2020-08-02 14:21:57,2.9
2020-08-02 14:21:58,-1.2
2020-08-02 14:21:59,-22.6
2020-08-02 14:22:00,-18.6
2020-08-02 14:22:01,-3.6
